Test,phylum_Actinobacteria,phylum_Bacteroidetes,phylum_Proteobacteria,phylum_Spirochaetes,phylum_TM7,genus_Selenomonas,genus_Oscillibacter,genus_Allisonella,genus_Collinsella,genus_Mitsuokella,genus_Coprococcus,genus_Coriobacterium,genus_Eubacterium,genus_Roseburia,genus_Faecalibacterium,genus_Actinomyces,genus_Catenibacterium,genus_Parabacteroides,genus_Streptococcus
0,40,461,18,1,0,0,0,0,4,1,1,0,7,18,180,1,7,7,930
0,14,720,11,1,0,1,2,0,3,1,1,0,11,18,101,0,15,13,777
0,223,56,49,0,0,0,0,0,8,1,0,0,17,0,662,0,19,1,183
0,42,27,12,0,0,0,0,0,1,0,0,0,11,1,204,0,57,0,533
0,36,380,32,0,0,0,0,1,1,1,2,0,6,3,331,0,28,0,664
1,39,605,18,2,0,0,4,4,0,2,5,0,3,147,168,0,24,2,96
1,11,1052,12,7,0,0,1,2,1,2,0,0,20,59,117,0,39,1,152
1,29,936,30,13,0,1,2,2,6,1,0,0,20,33,101,0,21,7,115
1,27,595,101,24,0,1,0,0,4,3,2,0,22,56,116,0,28,9,151
1,29,848,17,7,0,4,0,2,11,6,0,0,34,83,102,0,41,6,67
0,8,8,3,0,2,0,0,0,0,2,0,0,9,1,4,1,2,0,85
0,13,13,3,0,4,0,1,0,0,2,8,0,36,8,15,0,6,1,621
1,7,15,14,0,0,0,0,0,0,0,16,0,98,3,28,0,0,0,1092
1,60,33,664,0,0,0,0,0,0,6,1,0,246,6,90,0,7,0,115
1,8,16,50,0,1,0,0,0,2,11,3,0,134,21,65,0,21,0,761
1,2,6,2,0,0,5,0,0,1,2,14,0,66,4,11,0,17,0,1691
